2026-03-18 19:34:29.581 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users add constraint UK6dotkott2kjsp8vw4d0m25fb7 unique (email)
2026-03-18 19:34:29.588 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | select * from "testdb"."PUBLIC"."role" where 1=0
2026-03-18 19:34:29.592 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | select * from "testdb"."PUBLIC"."users" where 1=0
2026-03-18 19:34:30.850 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 5 | select rhe1_0.id,rhe1_0.child_role,rhe1_0.parent_role from role_hierarchy rhe1_0
2026-03-18 19:34:32.802 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 6 | select r1_0.id,r1_0.description,r1_0.role_name from role r1_0 where r1_0.role_name='ROLE_USER'
2026-03-18 19:34:32.807 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 7 | select r1_0.id,r1_0.description,r1_0.role_name from role r1_0 where r1_0.role_name='ROLE_ADMIN'
2026-03-18 19:34:32.814 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 8 | select rhe1_0.id from role_hierarchy rhe1_0 where rhe1_0.parent_role='ROLE_ADMIN' and rhe1_0.child_role='ROLE_USER' fetch first 1 rows only
2026-03-18 20:29:31.903 INFO  [traceId=5dd0aa81 userId=] [http-nio-8081-exec-4] p6spy : 2 ms | statement | connection 9 | select rt1_0.id,rt1_0.created_at,rt1_0.device_id,rt1_0.expires_at,rt1_0.ip_address,rt1_0.parent_token_id,rt1_0.revoked,rt1_0.revoked_at,rt1_0.token_hash,rt1_0.user_agent,rt1_0.user_id from refresh_token rt1_0 where rt1_0.token_hash='d250f8058fcc6fa046390372e8e9e3827b29ed5a44576f3dba0a74177d80fcb0'
2026-03-18 20:29:31.965 INFO  [traceId=5dd0aa81 userId=] [http-nio-8081-exec-4] p6spy : 1 ms | statement | connection 9 | select rt1_0.id,rt1_0.created_at,rt1_0.device_id,rt1_0.expires_at,rt1_0.ip_address,rt1_0.parent_token_id,rt1_0.revoked,rt1_0.revoked_at,rt1_0.token_hash,rt1_0.user_agent,rt1_0.user_id from refresh_token rt1_0 where rt1_0.token_hash='d250f8058fcc6fa046390372e8e9e3827b29ed5a44576f3dba0a74177d80fcb0'
2026-03-18 20:29:32.026 INFO  [traceId=5dd0aa81 userId=] [http-nio-8081-exec-4] p6spy : 3 ms | statement | connection 9 | insert into refresh_token (created_at,device_id,expires_at,ip_address,parent_token_id,revoked,revoked_at,token_hash,user_agent,user_id,id) values ('2026-03-18T20:29:31.982+0900','99a2e661-c8ff-4641-b26f-3c826b911a8e','2026-04-01T20:29:31.913+0900','0:0:0:0:0:0:0:1',150,false,NULL,'1fcab0a40272f20d1ddb63e8fe77c98fe59035576c5add034f753fb60d8b7bfb','Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36',1,default)
2026-03-18 20:29:32.072 INFO  [traceId=5dd0aa81 userId=] [http-nio-8081-exec-4] p6spy : 0 ms | statement | connection 9 | select u1_0.id,u1_0.created_at,u1_0.email,u1_0.name,u1_0.provider,u1_0.provider_subject,u1_0.status,u1_0.updated_at from users u1_0 where u1_0.id=1
2026-03-18 20:29:32.114 INFO  [traceId=5dd0aa81 userId=] [http-nio-8081-exec-4] p6spy : 0 ms | statement | connection 9 | select ur1_0.user_id,ur1_0.id,ur1_0.role_id from user_role ur1_0 where ur1_0.user_id=1
2026-03-18 20:29:32.130 INFO  [traceId=5dd0aa81 userId=] [http-nio-8081-exec-4] p6spy : 0 ms | statement | connection 9 | select r1_0.id,r1_0.description,r1_0.role_name from role r1_0 where r1_0.id=1
2026-03-18 20:29:32.183 INFO  [traceId=5dd0aa81 userId=] [http-nio-8081-exec-4] p6spy : 1 ms | statement | connection 9 | update refresh_token set created_at='2026-03-18T19:24:56.967+0900',device_id='99a2e661-c8ff-4641-b26f-3c826b911a8e',expires_at='2026-04-01T19:24:56.940+0900',ip_address='0:0:0:0:0:0:0:1',parent_token_id=149,revoked=true,revoked_at='2026-03-18T20:29:31.968+0900',token_hash='d250f8058fcc6fa046390372e8e9e3827b29ed5a44576f3dba0a74177d80fcb0',user_agent='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36',user_id=1 where id=150
2026-03-18 20:29:32.442 INFO  [traceId=f13722e7 userId=1] [http-nio-8081-exec-9] p6spy : 1 ms | statement | connection 10 | select u1_0.id,u1_0.created_at,u1_0.email,u1_0.name,u1_0.provider,u1_0.provider_subject,u1_0.status,u1_0.updated_at from users u1_0 where u1_0.id=1
2026-03-18 20:29:38.913 INFO  [traceId=157c606f userId=1] [http-nio-8081-exec-7] p6spy : 0 ms | statement | connection 11 | select rt1_0.id,rt1_0.created_at,rt1_0.device_id,rt1_0.expires_at,rt1_0.ip_address,rt1_0.parent_token_id,rt1_0.revoked,rt1_0.revoked_at,rt1_0.token_hash,rt1_0.user_agent,rt1_0.user_id from refresh_token rt1_0 where rt1_0.token_hash='1fcab0a40272f20d1ddb63e8fe77c98fe59035576c5add034f753fb60d8b7bfb'
2026-03-18 20:29:38.943 INFO  [traceId=157c606f userId=1] [http-nio-8081-exec-7] p6spy : 0 ms | statement | connection 11 | update refresh_token set created_at='2026-03-18T20:29:31.982+0900',device_id='99a2e661-c8ff-4641-b26f-3c826b911a8e',expires_at='2026-04-01T20:29:31.913+0900',ip_address='0:0:0:0:0:0:0:1',parent_token_id=150,revoked=true,revoked_at='2026-03-18T20:29:38.916+0900',token_hash='1fcab0a40272f20d1ddb63e8fe77c98fe59035576c5add034f753fb60d8b7bfb',user_agent='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36',user_id=1 where id=151
